Temperature,Vibration,Current,Status,RUL
69.88,3.84,3.56,Normal,28.192000000000007
73.74,4.76,5.42,Normal,15.696000000000026
68.76,4.4,7.51,Normal,14.213999999999999
83.16,3.57,4.32,Faulty,0.0
67.85,3.88,5.65,Normal,22.939999999999998
72.8,3.85,5.95,Normal,19.22
75.65,4.51,6.62,Normal,12.200000000000003
82.21,3.63,6.57,Faulty,0.0
67.82,3.61,6.57,Normal,21.548000000000002
80.82,5.97,8.24,Faulty,0.0
91.98,8.57,11.33,Faulty,0.0
70.09,3.24,6.42,Normal,22.48599999999999
77.31,4.57,4.98,Normal,15.823999999999998
76.0,4.12,8.54,Normal,10.0
72.0,4.39,5.99,Normal,16.88000000000001
75.35,4.14,5.37,Normal,17.980000000000004
73.07,5.19,7.32,Normal,10.0
75.57,4.35,5.85,Normal,15.358000000000018
78.31,3.94,6.21,Normal,14.684000000000012
82.93,5.04,7.39,Faulty,0.0
68.81,4.23,6.51,Normal,18.033999999999992
85.67,4.12,10.47,Faulty,0.0
65.24,4.31,6.89,Normal,18.63600000000001
74.24,3.91,7.93,Normal,12.116000000000014
77.94,4.01,4.09,Normal,20.91600000000001
76.4,3.41,5.71,Normal,19.980000000000004
71.89,3.25,5.37,Normal,24.506
73.96,3.0,5.57,Normal,23.914
72.53,2.61,7.62,Normal,20.572000000000003
72.05,3.12,8.55,Normal,15.519999999999996
79.25,3.83,7.52,Normal,10.740000000000009
76.79,4.1,6.66,Normal,13.445999999999984
71.54,3.73,6.05,Normal,20.27600000000001
79.5,1.64,8.67,Normal,18.090000000000003
76.54,5.57,10.11,Faulty,0.0
93.96,7.64,9.84,Faulty,0.0
78.15,4.45,8.41,Normal,10.0
70.86,5.91,7.52,Normal,10.0
72.2,3.02,8.13,Normal,17.189999999999998
78.74,5.89,5.25,Normal,10.0
78.05,3.03,6.27,Normal,19.210000000000008
74.9,4.24,7.59,Normal,11.08999999999999
85.76,5.77,10.85,Faulty,0.0
81.39,4.01,5.77,Faulty,0.0
72.04,4.39,3.95,Normal,22.976
77.74,3.85,6.25,Normal,15.355999999999995
73.99,4.71,8.52,Normal,10.0
73.91,4.1,4.62,Normal,21.293999999999997
80.49,3.48,5.23,Faulty,0.0
79.13,3.43,7.23,Normal,13.682000000000002
79.07,4.81,6.83,Normal,10.0
81.53,3.35,7.89,Faulty,0.0
75.11,4.92,5.16,Normal,14.854
78.41,5.22,6.51,Normal,10.0
73.45,2.33,8.79,Normal,17.909999999999997
76.62,5.13,5.21,Normal,12.748000000000005
74.35,6.06,9.22,Faulty,0.0
75.48,4.25,5.4,Normal,17.261999999999986
77.98,4.6,8.27,Normal,10.0
70.91,5.04,6.44,Normal,12.933999999999997
85.46,3.72,5.28,Faulty,0.0
69.97,4.18,6.25,Normal,18.367999999999995
68.93,2.69,7.82,Normal,21.732
80.79,4.14,6.99,Faulty,0.0
78.96,4.5,8.68,Normal,10.0
78.12,4.52,9.15,Faulty,0.0
78.14,5.07,5.23,Normal,12.075999999999993
74.94,3.23,5.12,Normal,23.52600000000001
70.51,3.47,5.04,Normal,25.22399999999999
75.38,5.9,5.65,Normal,10.0
71.61,3.85,8.66,Normal,11.804000000000002
79.88,4.2,7.84,Normal,10.0
74.26,3.93,6.18,Normal,17.25399999999999
70.87,3.18,6.98,Normal,20.638000000000005
73.39,5.62,9.11,Faulty,0.0
77.06,3.47,9.86,Faulty,0.0
72.18,2.87,7.39,Normal,20.171999999999997
70.89,3.55,3.01,Normal,30.686000000000007
76.22,2.0,7.45,Normal,21.918000000000006
76.22,3.35,8.4,Normal,12.317999999999998
72.47,3.03,7.34,Normal,19.348
72.64,4.62,8.09,Normal,10.0
76.16,3.33,7.54,Normal,15.034000000000006
67.76,4.89,5.15,Normal,19.444000000000003
67.96,5.4,5.67,Normal,15.213999999999999
71.41,4.78,6.52,Normal,13.694000000000003
73.93,3.78,8.6,Normal,10.942000000000007
76.55,4.14,5.85,Normal,15.820000000000007
82.38,2.48,7.68,Faulty,0.0
79.29,3.87,7.46,Normal,10.695999999999998
74.2,3.14,9.38,Faulty,0.0
74.9,4.69,6.94,Normal,10.789999999999992
69.99,6.57,4.37,Faulty,0.0
74.91,4.5,7.97,Normal,10.0
73.56,2.01,10.21,Faulty,0.0
76.61,3.64,8.07,Normal,11.623999999999995
70.86,4.12,5.82,Normal,19.424000000000007
77.6,4.09,5.38,Normal,16.85000000000001
82.66,3.27,5.57,Faulty,0.0
74.46,4.25,10.0,Faulty,0.0
77.01,2.76,6.51,Normal,20.464
78.45,3.06,6.01,Normal,19.599999999999994
72.99,4.65,6.76,Normal,12.676000000000002
95.73,5.22,9.34,Faulty,0.0
75.06,4.54,9.35,Faulty,0.0
75.49,2.63,5.48,Normal,25.116
71.13,5.76,8.77,Normal,10.0
75.12,3.23,7.18,Normal,17.238
77.49,3.78,8.81,Normal,10.0
82.26,4.33,9.37,Faulty,0.0
79.8,3.43,7.13,Normal,13.579999999999998
85.77,4.14,6.53,Faulty,0.0
71.16,4.58,7.1,Normal,13.104
79.36,4.96,6.86,Normal,10.0
75.92,4.79,4.51,Normal,16.968000000000004
85.95,3.83,9.33,Faulty,0.0
70.96,3.85,7.37,Normal,16.064000000000007
70.8,6.35,5.26,Faulty,0.0
72.0,4.95,3.9,Normal,20.35000000000001
64.38,3.08,3.51,Normal,35.44200000000001
72.37,4.1,8.16,Normal,11.597999999999999
71.2,3.66,6.07,Normal,20.77000000000001
75.75,3.86,6.32,Normal,16.289999999999992
76.71,2.77,7.73,Normal,16.933999999999997
84.38,3.59,6.23,Faulty,0.0
79.75,5.81,7.82,Normal,10.0
72.12,4.58,7.14,Normal,12.408000000000001
70.51,1.51,6.87,Normal,29.533999999999992
89.69,7.79,7.68,Faulty,0.0
68.4,5.09,5.77,Normal,16.200000000000003
84.16,3.64,7.9,Faulty,0.0
80.9,4.72,5.98,Faulty,0.0
72.65,3.14,8.81,Normal,14.280000000000001
66.43,3.53,10.52,Faulty,0.0
81.77,5.5,7.98,Faulty,0.0
74.43,3.73,9.24,Faulty,0.0
81.19,2.13,8.08,Faulty,0.0
67.03,3.94,6.2,Normal,21.482
72.0,3.92,7.3,Normal,15.300000000000011
75.03,5.2,10.02,Faulty,0.0
75.23,4.01,6.21,Normal,16.182000000000016
72.75,3.58,5.44,Normal,22.129999999999995
78.11,5.05,5.3,Normal,11.984000000000009
69.66,4.12,6.67,Normal,17.593999999999994
74.29,3.25,5.49,Normal,22.70599999999999
75.6,5.15,9.51,Faulty,0.0
77.57,4.19,7.32,Normal,10.548000000000002
78.56,4.0,8.46,Normal,10.0
69.38,4.18,6.55,Normal,17.822000000000003
67.33,2.93,5.29,Normal,29.082000000000008
81.39,3.47,5.04,Faulty,0.0
76.66,4.0,5.64,Normal,17.084000000000003
71.26,3.81,7.52,Normal,15.634
82.76,5.27,7.78,Faulty,0.0
75.58,4.22,7.9,Normal,10.0
80.9,4.85,4.77,Faulty,0.0
94.53,6.55,11.98,Faulty,0.0
85.3,5.06,5.46,Faulty,0.0
83.78,4.4,7.6,Faulty,0.0
73.76,4.01,7.72,Normal,12.534000000000006
79.86,3.99,5.24,Normal,16.414
97.79,6.83,12.31,Faulty,0.0
81.84,4.51,10.51,Faulty,0.0
70.18,3.96,8.25,Normal,13.341999999999999
78.43,3.5,6.76,Normal,15.162000000000006
80.29,5.11,6.53,Faulty,0.0
66.21,2.75,6.69,Normal,26.454000000000008
69.08,3.58,5.86,Normal,23.072000000000003
64.8,5.03,7.38,Normal,13.829999999999998
73.65,4.32,5.29,Normal,18.33999999999999
78.59,3.95,4.17,Normal,20.586
82.51,4.25,7.33,Faulty,0.0
75.37,4.18,7.03,Normal,12.787999999999997
83.14,2.48,6.14,Faulty,0.0
68.1,3.65,5.08,Normal,25.650000000000006
79.72,9.1,9.87,Faulty,0.0
74.72,3.34,5.51,Normal,21.938000000000002
76.92,3.68,6.79,Normal,15.077999999999989
74.84,3.46,9.65,Faulty,0.0
64.66,3.91,7.98,Normal,17.714
74.55,3.42,4.95,Normal,23.319999999999993
68.48,4.49,5.09,Normal,21.191999999999993
78.35,4.2,7.23,Normal,10.300000000000011
76.83,4.77,4.94,Normal,15.232
70.3,2.95,4.0,Normal,31.069999999999993
72.43,3.66,7.8,Normal,14.841999999999985
69.7,3.77,7.48,Normal,16.89
87.14,7.08,10.36,Faulty,0.0
79.78,3.21,7.39,Normal,13.911999999999992
70.07,4.92,6.9,Normal,12.658000000000001
77.52,5.19,6.01,Normal,10.0
72.35,3.01,7.77,Normal,18.230000000000004
71.04,3.51,9.29,Faulty,0.0
74.46,3.47,6.25,Normal,19.224000000000004
69.82,6.63,5.47,Faulty,0.0
72.23,3.57,5.3,Normal,22.912000000000006
69.01,5.68,5.7,Normal,13.093999999999994
84.82,2.73,7.3,Faulty,0.0
75.18,3.01,3.79,Normal,28.471999999999994
71.5,3.31,7.66,Normal,17.569999999999993
76.07,3.15,7.97,Normal,14.698000000000008
74.44,3.73,4.3,Normal,23.786
73.9,3.29,5.53,Normal,22.61999999999999
78.07,3.18,7.12,Normal,15.89800000000001
78.79,5.16,6.78,Normal,10.0
72.35,5.22,7.78,Normal,10.0
72.12,4.95,6.79,Normal,11.608000000000004
73.62,4.52,8.9,Normal,10.0
63.49,4.09,6.52,Normal,21.896
67.42,3.5,5.53,Normal,25.458
81.83,3.05,5.4,Faulty,0.0
83.22,4.36,8.1,Faulty,0.0
73.75,2.83,7.04,Normal,20.480000000000004
77.88,3.01,7.95,Normal,14.372000000000014
76.56,5.15,7.92,Normal,10.0
108.31,8.35,6.05,Faulty,0.0
80.6,4.39,5.29,Faulty,0.0
74.36,5.11,5.47,Normal,13.424000000000007
70.22,3.75,5.78,Normal,21.778000000000006
66.97,2.66,6.37,Normal,27.408
76.02,4.61,8.5,Normal,10.0
71.22,4.57,8.8,Normal,10.0
67.89,4.07,6.56,Normal,19.23599999999999
71.77,3.76,6.62,Normal,18.278000000000006
69.59,4.96,5.94,Normal,15.626000000000005
83.44,3.01,7.13,Faulty,0.0
79.41,3.23,7.3,Normal,14.304000000000002
74.96,2.99,8.21,Normal,15.444000000000003
82.4,4.08,8.2,Faulty,0.0
86.87,6.71,6.7,Faulty,0.0
70.69,3.32,6.77,Normal,20.676000000000002
82.62,3.29,9.08,Faulty,0.0
77.69,3.74,6.34,Normal,15.666000000000011
69.81,2.51,8.71,Normal,19.433999999999997
74.05,4.09,6.54,Normal,15.5
70.62,5.25,7.26,Normal,10.0
68.09,4.14,5.29,Normal,22.575999999999993
79.63,5.54,5.35,Normal,10.0
84.55,5.33,8.09,Faulty,0.0
68.01,4.78,8.32,Normal,10.334000000000003
77.81,4.07,7.04,Normal,11.843999999999994
71.75,4.02,5.16,Normal,21.370000000000005
72.56,4.76,7.07,Normal,11.454000000000008
72.04,3.61,8.89,Normal,12.055999999999997
70.68,2.12,9.61,Faulty,0.0
75.24,4.49,6.52,Normal,12.846000000000004
70.85,2.87,4.51,Normal,29.61
76.35,3.04,8.26,Normal,14.210000000000008
74.75,4.0,6.59,Normal,15.38000000000001
73.81,3.9,8.41,Normal,10.983999999999995
70.46,2.59,7.42,Normal,22.51400000000001
72.12,4.17,5.67,Normal,18.867999999999995
78.78,4.97,7.09,Normal,10.0
77.5,2.87,8.96,Normal,12.269999999999996
70.11,5.27,6.78,Normal,11.244
75.5,2.44,5.45,Normal,26.150000000000006
78.76,6.12,4.62,Faulty,0.0
66.65,3.59,5.84,Normal,24.540000000000006
77.72,4.15,6.38,Normal,13.477999999999994
71.69,2.11,8.23,Normal,21.74600000000001
77.85,3.94,5.32,Normal,17.629999999999995
71.18,4.23,9.33,Faulty,0.0
65.98,3.91,4.99,Normal,25.891999999999996
66.86,3.44,10.5,Faulty,0.0
75.24,3.05,9.59,Faulty,0.0
76.3,5.13,7.21,Normal,10.0
70.48,4.03,4.53,Normal,23.971999999999994
78.19,5.54,6.92,Normal,10.0
66.69,3.47,6.42,Normal,23.376000000000005
74.67,3.57,5.09,Normal,22.078000000000003
68.94,4.82,7.44,Normal,12.216000000000008
71.74,2.38,5.76,Normal,27.77600000000001
75.24,2.79,5.93,Normal,23.116000000000014
70.7,5.1,6.69,Normal,12.009999999999991
73.08,2.83,6.14,Normal,23.582000000000008
80.03,2.18,10.12,Faulty,0.0
72.12,5.87,6.2,Normal,10.0
79.18,2.61,7.66,Normal,16.462000000000003
69.35,4.18,7.22,Normal,15.830000000000013
77.65,4.07,7.53,Normal,10.469999999999999
82.21,1.19,7.64,Faulty,0.0
62.64,3.73,8.32,Normal,18.80600000000001
71.02,4.45,7.4,Normal,12.938000000000002
77.89,4.35,7.34,Normal,10.0
73.98,4.9,7.09,Normal,10.0
76.86,3.61,6.79,Normal,15.463999999999999
71.98,4.71,5.63,Normal,16.372
75.43,3.31,6.91,Normal,17.46199999999999
93.11,6.28,9.81,Faulty,0.0
80.84,2.7,7.6,Faulty,0.0
76.27,2.54,7.27,Normal,19.72800000000001
76.69,5.01,6.65,Normal,10.0
72.94,2.49,6.91,Normal,23.055999999999997
72.56,4.27,6.17,Normal,16.604000000000013
72.84,3.73,7.47,Normal,15.236000000000004
76.97,3.9,6.67,Normal,14.308000000000021
72.9,5.36,7.27,Normal,10.0
76.45,3.56,8.5,Normal,10.829999999999998
85.38,4.61,5.94,Faulty,0.0
79.36,4.04,7.9,Normal,10.0
73.37,3.85,7.05,Normal,15.578000000000003
81.01,6.3,10.03,Faulty,0.0
72.96,2.56,6.68,Normal,23.384000000000015
64.81,5.29,8.04,Normal,10.544000000000011
69.96,4.66,7.02,Normal,13.664000000000001
65.65,3.52,4.92,Normal,28.25
73.24,5.63,6.22,Normal,10.0
75.09,2.15,8.32,Normal,19.23599999999999
83.38,3.48,6.35,Faulty,0.0
87.21,6.62,8.49,Faulty,0.0
73.9,4.41,6.95,Normal,12.759999999999991
79.15,2.89,5.36,Normal,21.97999999999999
63.94,4.43,7.2,Normal,17.885999999999996
89.15,6.49,11.33,Faulty,0.0
78.85,3.52,8.15,Normal,10.64
67.61,4.39,9.3,Faulty,0.0
99.21,6.67,10.99,Faulty,0.0
76.69,2.91,6.79,Normal,19.066000000000003
84.71,9.6,10.14,Faulty,0.0
90.21,6.5,8.42,Faulty,0.0
86.35,1.78,5.61,Faulty,0.0
75.91,3.16,5.04,Normal,23.533999999999992
76.24,2.73,9.05,Faulty,0.0
72.7,4.83,3.86,Normal,20.650000000000006
70.75,4.32,9.06,Faulty,0.0
79.15,4.4,8.87,Normal,10.0
70.72,3.63,7.75,Normal,16.168000000000006
75.36,3.72,5.33,Normal,20.194000000000003
72.61,3.63,4.63,Normal,24.394000000000005
77.39,3.92,6.18,Normal,15.426000000000016
76.67,4.84,7.94,Normal,10.0
80.19,4.34,7.0,Faulty,0.0
72.45,4.5,5.43,Normal,17.74000000000001
73.65,4.5,8.72,Normal,10.0
70.11,4.88,9.53,Faulty,0.0
72.78,4.29,6.66,Normal,14.902000000000001
76.89,4.36,7.16,Normal,10.585999999999999
78.78,5.19,4.74,Normal,12.561999999999998
70.39,3.33,6.38,Normal,21.976
79.35,3.14,7.77,Normal,13.38000000000001
81.78,2.81,7.53,Faulty,0.0
77.07,4.18,6.24,Normal,14.138000000000005
84.38,2.15,6.59,Faulty,0.0
90.38,6.51,10.01,Faulty,0.0
68.78,3.89,6.58,Normal,19.542
66.11,5.13,7.63,Normal,11.793999999999997
82.48,3.33,4.05,Faulty,0.0
78.27,3.8,6.89,Normal,13.36800000000001
74.72,5.12,7.52,Normal,10.0
76.4,5.38,6.14,Normal,10.0
69.37,3.32,6.28,Normal,22.938000000000002
87.23,4.18,6.32,Faulty,0.0
75.65,4.29,6.28,Normal,14.319999999999993
75.55,4.37,7.01,Normal,11.789999999999992
78.63,3.74,7.19,Normal,12.551999999999992
77.41,5.28,3.85,Normal,15.604
76.12,2.11,7.98,Normal,19.837999999999994
71.05,3.58,6.57,Normal,19.760000000000005
77.36,4.45,9.9,Faulty,0.0
84.41,4.46,5.21,Faulty,0.0
81.73,5.35,5.7,Faulty,0.0
82.97,5.2,6.7,Faulty,0.0
